,name,posix_close_date,ticker,type,strike,bid,ask
0,MSFT210312C00145000,1615507200,MSFT,call,145.0,83.8,84.1
1,MSFT210312C00150000,1615507200,MSFT,call,150.0,78.9,79.1
2,MSFT210312C00175000,1615507200,MSFT,call,175.0,53.5,54.65
3,MSFT210312C00180000,1615507200,MSFT,call,180.0,48.55,49.55
4,MSFT210312C00185000,1615507200,MSFT,call,185.0,43.5,44.65
5,MSFT210312C00190000,1615507200,MSFT,call,190.0,38.7,39.85
6,MSFT210312C00195000,1615507200,MSFT,call,195.0,33.15,35.4
7,MSFT210312C00200000,1615507200,MSFT,call,200.0,28.9,29.65
8,MSFT210312C00205000,1615507200,MSFT,call,205.0,23.45,24.4
9,MSFT210312C00207500,1615507200,MSFT,call,207.5,21.45,22.1
10,MSFT210312C00210000,1615507200,MSFT,call,210.0,19.0,19.5
11,MSFT210312C00212500,1615507200,MSFT,call,212.5,16.45,17.2
12,MSFT210312C00215000,1615507200,MSFT,call,215.0,14.0,14.7
13,MSFT210312C00217500,1615507200,MSFT,call,217.5,11.95,12.45
14,MSFT210312C00220000,1615507200,MSFT,call,220.0,9.65,9.9
15,MSFT210312C00222500,1615507200,MSFT,call,222.5,7.6,7.8
16,MSFT210312C00225000,1615507200,MSFT,call,225.0,5.7,5.8
17,MSFT210312C00227500,1615507200,MSFT,call,227.5,4.0,4.15
18,MSFT210312C00230000,1615507200,MSFT,call,230.0,2.63,2.67
19,MSFT210312C00232500,1615507200,MSFT,call,232.5,1.59,1.62
20,MSFT210312C00235000,1615507200,MSFT,call,235.0,0.89,0.91
21,MSFT210312C00237500,1615507200,MSFT,call,237.5,0.46,0.48
22,MSFT210312C00240000,1615507200,MSFT,call,240.0,0.24,0.25
23,MSFT210312C00242500,1615507200,MSFT,call,242.5,0.12,0.14
24,MSFT210312C00245000,1615507200,MSFT,call,245.0,0.08,0.09
25,MSFT210312C00247500,1615507200,MSFT,call,247.5,0.05,0.06
26,MSFT210312C00250000,1615507200,MSFT,call,250.0,0.03,0.05
27,MSFT210312C00255000,1615507200,MSFT,call,255.0,0.02,0.03
28,MSFT210312C00260000,1615507200,MSFT,call,260.0,0.01,0.03
29,MSFT210312C00262500,1615507200,MSFT,call,262.5,0.01,0.02
30,MSFT210312P00180000,1615507200,MSFT,put,180.0,0.01,0.03
31,MSFT210312P00185000,1615507200,MSFT,put,185.0,0.02,0.03
32,MSFT210312P00195000,1615507200,MSFT,put,195.0,0.04,0.06
33,MSFT210312P00200000,1615507200,MSFT,put,200.0,0.07,0.08
34,MSFT210312P00202500,1615507200,MSFT,put,202.5,0.1,0.11
35,MSFT210312P00205000,1615507200,MSFT,put,205.0,0.13,0.14
36,MSFT210312P00207500,1615507200,MSFT,put,207.5,0.16,0.18
37,MSFT210312P00210000,1615507200,MSFT,put,210.0,0.22,0.24
38,MSFT210312P00212500,1615507200,MSFT,put,212.5,0.28,0.3
39,MSFT210312P00215000,1615507200,MSFT,put,215.0,0.4,0.41
40,MSFT210312P00217500,1615507200,MSFT,put,217.5,0.57,0.58
41,MSFT210312P00220000,1615507200,MSFT,put,220.0,0.82,0.84
42,MSFT210312P00222500,1615507200,MSFT,put,222.5,1.2,1.23
43,MSFT210312P00225000,1615507200,MSFT,put,225.0,1.78,1.81
44,MSFT210312P00227500,1615507200,MSFT,put,227.5,2.57,2.62
45,MSFT210312P00230000,1615507200,MSFT,put,230.0,3.65,3.75
46,MSFT210312P00232500,1615507200,MSFT,put,232.5,5.05,5.2
47,MSFT210312P00235000,1615507200,MSFT,put,235.0,6.65,6.9
48,MSFT210312P00237500,1615507200,MSFT,put,237.5,8.85,9.15
49,MSFT210312P00240000,1615507200,MSFT,put,240.0,11.15,11.45
50,MSFT210312P00242500,1615507200,MSFT,put,242.5,13.15,14.45
51,MSFT210312P00245000,1615507200,MSFT,put,245.0,15.5,17.0
52,MSFT210312P00247500,1615507200,MSFT,put,247.5,18.05,18.9
53,MSFT210312P00250000,1615507200,MSFT,put,250.0,20.45,21.8
54,MSFT210312P00252500,1615507200,MSFT,put,252.5,23.05,24.0
55,MSFT210312P00255000,1615507200,MSFT,put,255.0,25.3,26.75
56,MSFT210312P00257500,1615507200,MSFT,put,257.5,27.9,29.3
57,MSFT210312P00260000,1615507200,MSFT,put,260.0,30.2,31.55
58,MSFT210312P00262500,1615507200,MSFT,put,262.5,32.85,34.35
59,MSFT210312P00265000,1615507200,MSFT,put,265.0,35.3,36.5
60,MSFT210312P00267500,1615507200,MSFT,put,267.5,37.7,38.8
61,MSFT210312P00270000,1615507200,MSFT,put,270.0,40.4,41.75
62,MSFT210312P00275000,1615507200,MSFT,put,275.0,45.2,46.55
63,MSFT210312P00290000,1615507200,MSFT,put,290.0,60.3,62.05
64,MSFT210312P00310000,1615507200,MSFT,put,310.0,79.6,82.0
65,MSFT210312P00315000,1615507200,MSFT,put,315.0,85.75,86.2
66,MSFT210319C00065000,1616112000,MSFT,call,65.0,163.25,164.55
67,MSFT210319C00070000,1616112000,MSFT,call,70.0,158.1,160.05
68,MSFT210319C00075000,1616112000,MSFT,call,75.0,153.25,154.6
69,MSFT210319C00080000,1616112000,MSFT,call,80.0,148.3,149.6
70,MSFT210319C00085000,1616112000,MSFT,call,85.0,143.05,144.7
71,MSFT210319C00090000,1616112000,MSFT,call,90.0,138.4,139.6
72,MSFT210319C00095000,1616112000,MSFT,call,95.0,132.85,135.45
73,MSFT210319C00100000,1616112000,MSFT,call,100.0,127.85,129.75
74,MSFT210319C00105000,1616112000,MSFT,call,105.0,122.85,124.75
75,MSFT210319C00110000,1616112000,MSFT,call,110.0,117.95,119.8
76,MSFT210319C00115000,1616112000,MSFT,call,115.0,112.85,114.8
77,MSFT210319C00120000,1616112000,MSFT,call,120.0,108.3,109.6
78,MSFT210319C00125000,1616112000,MSFT,call,125.0,103.35,104.55
79,MSFT210319C00130000,1616112000,MSFT,call,130.0,97.85,100.45
80,MSFT210319C00135000,1616112000,MSFT,call,135.0,92.8,94.7
81,MSFT210319C00140000,1616112000,MSFT,call,140.0,88.3,89.6
82,MSFT210319C00145000,1616112000,MSFT,call,145.0,83.15,84.7
83,MSFT210319C00150000,1616112000,MSFT,call,150.0,78.1,79.8
84,MSFT210319C00155000,1616112000,MSFT,call,155.0,73.25,74.75
85,MSFT210319C00160000,1616112000,MSFT,call,160.0,68.5,69.65
86,MSFT210319C00165000,1616112000,MSFT,call,165.0,63.35,64.7
87,MSFT210319C00170000,1616112000,MSFT,call,170.0,58.4,59.7
88,MSFT210319C00175000,1616112000,MSFT,call,175.0,53.45,54.55
89,MSFT210319C00180000,1616112000,MSFT,call,180.0,48.95,49.25
90,MSFT210319C00185000,1616112000,MSFT,call,185.0,43.5,44.85
91,MSFT210319C00190000,1616112000,MSFT,call,190.0,39.1,39.65
92,MSFT210319C00195000,1616112000,MSFT,call,195.0,34.2,34.95
93,MSFT210319C00200000,1616112000,MSFT,call,200.0,29.3,29.85
94,MSFT210319C00205000,1616112000,MSFT,call,205.0,24.55,24.9
95,MSFT210319C00210000,1616112000,MSFT,call,210.0,19.8,20.25
96,MSFT210319C00215000,1616112000,MSFT,call,215.0,15.25,15.55
97,MSFT210319C00217500,1616112000,MSFT,call,217.5,13.15,13.55
98,MSFT210319C00220000,1616112000,MSFT,call,220.0,11.05,11.3
99,MSFT210319C00222500,1616112000,MSFT,call,222.5,9.1,9.25
100,MSFT210319C00225000,1616112000,MSFT,call,225.0,7.3,7.45
101,MSFT210319C00227500,1616112000,MSFT,call,227.5,5.7,5.8
102,MSFT210319C00230000,1616112000,MSFT,call,230.0,4.45,4.55
103,MSFT210319C00232500,1616112000,MSFT,call,232.5,3.15,3.25
104,MSFT210319C00235000,1616112000,MSFT,call,235.0,2.28,2.33
105,MSFT210319C00237500,1616112000,MSFT,call,237.5,1.63,1.67
106,MSFT210319C00240000,1616112000,MSFT,call,240.0,1.09,1.11
107,MSFT210319C00242500,1616112000,MSFT,call,242.5,0.73,0.75
108,MSFT210319C00245000,1616112000,MSFT,call,245.0,0.5,0.52
109,MSFT210319C00247500,1616112000,MSFT,call,247.5,0.35,0.36
110,MSFT210319C00250000,1616112000,MSFT,call,250.0,0.25,0.26
111,MSFT210319C00252500,1616112000,MSFT,call,252.5,0.18,0.19
112,MSFT210319C00255000,1616112000,MSFT,call,255.0,0.13,0.15
113,MSFT210319C00257500,1616112000,MSFT,call,257.5,0.1,0.12
114,MSFT210319C00260000,1616112000,MSFT,call,260.0,0.07,0.1
115,MSFT210319C00262500,1616112000,MSFT,call,262.5,0.06,0.08
116,MSFT210319C00265000,1616112000,MSFT,call,265.0,0.05,0.07
117,MSFT210319C00270000,1616112000,MSFT,call,270.0,0.03,0.04
118,MSFT210319C00275000,1616112000,MSFT,call,275.0,0.03,0.04
119,MSFT210319C00280000,1616112000,MSFT,call,280.0,0.02,0.03
120,MSFT210319C00285000,1616112000,MSFT,call,285.0,0.01,0.03
121,MSFT210319C00300000,1616112000,MSFT,call,300.0,0.01,0.02
122,MSFT210319P00145000,1616112000,MSFT,put,145.0,0.02,0.03
123,MSFT210319P00150000,1616112000,MSFT,put,150.0,0.02,0.03
124,MSFT210319P00155000,1616112000,MSFT,put,155.0,0.02,0.05
125,MSFT210319P00160000,1616112000,MSFT,put,160.0,0.04,0.05
126,MSFT210319P00165000,1616112000,MSFT,put,165.0,0.05,0.08
127,MSFT210319P00170000,1616112000,MSFT,put,170.0,0.07,0.09
128,MSFT210319P00175000,1616112000,MSFT,put,175.0,0.1,0.12
129,MSFT210319P00180000,1616112000,MSFT,put,180.0,0.15,0.17
130,MSFT210319P00185000,1616112000,MSFT,put,185.0,0.2,0.23
131,MSFT210319P00190000,1616112000,MSFT,put,190.0,0.27,0.29
132,MSFT210319P00195000,1616112000,MSFT,put,195.0,0.35,0.37
133,MSFT210319P00200000,1616112000,MSFT,put,200.0,0.49,0.51
134,MSFT210319P00205000,1616112000,MSFT,put,205.0,0.66,0.68
135,MSFT210319P00210000,1616112000,MSFT,put,210.0,0.95,0.97
136,MSFT210319P00215000,1616112000,MSFT,put,215.0,1.38,1.41
137,MSFT210319P00217500,1616112000,MSFT,put,217.5,1.64,1.68
138,MSFT210319P00220000,1616112000,MSFT,put,220.0,2.13,2.17
139,MSFT210319P00222500,1616112000,MSFT,put,222.5,2.6,2.64
140,MSFT210319P00225000,1616112000,MSFT,put,225.0,3.35,3.45
141,MSFT210319P00227500,1616112000,MSFT,put,227.5,4.2,4.3
142,MSFT210319P00230000,1616112000,MSFT,put,230.0,5.35,5.45
143,MSFT210319P00232500,1616112000,MSFT,put,232.5,6.7,6.8
144,MSFT210319P00235000,1616112000,MSFT,put,235.0,8.25,8.35
145,MSFT210319P00237500,1616112000,MSFT,put,237.5,10.0,10.2
146,MSFT210319P00240000,1616112000,MSFT,put,240.0,11.95,12.25
147,MSFT210319P00242500,1616112000,MSFT,put,242.5,14.0,14.35
148,MSFT210319P00245000,1616112000,MSFT,put,245.0,16.2,16.65
149,MSFT210319P00247500,1616112000,MSFT,put,247.5,18.1,19.05
150,MSFT210319P00250000,1616112000,MSFT,put,250.0,20.55,21.95
151,MSFT210319P00252500,1616112000,MSFT,put,252.5,23.05,23.85
152,MSFT210319P00255000,1616112000,MSFT,put,255.0,25.5,26.6
153,MSFT210319P00257500,1616112000,MSFT,put,257.5,28.25,28.8
154,MSFT210319P00260000,1616112000,MSFT,put,260.0,30.5,31.75
155,MSFT210319P00262500,1616112000,MSFT,put,262.5,33.05,34.2
156,MSFT210319P00265000,1616112000,MSFT,put,265.0,35.45,36.95
157,MSFT210319P00270000,1616112000,MSFT,put,270.0,39.0,41.65
