,name,posix_close_date,ticker,type,strike,bid,ask
0,WFC210312C00024000,1615507200,WFC,call,24.0,13.3,15.4
1,WFC210312C00026000,1615507200,WFC,call,26.0,11.25,11.6
2,WFC210312C00026500,1615507200,WFC,call,26.5,10.7,11.15
3,WFC210312C00027000,1615507200,WFC,call,27.0,10.45,12.35
4,WFC210312C00027500,1615507200,WFC,call,27.5,10.85,11.8
5,WFC210312C00028000,1615507200,WFC,call,28.0,9.3,11.5
6,WFC210312C00028500,1615507200,WFC,call,28.5,8.95,10.75
7,WFC210312C00029000,1615507200,WFC,call,29.0,8.55,10.2
8,WFC210312C00029500,1615507200,WFC,call,29.5,8.4,9.45
9,WFC210312C00030000,1615507200,WFC,call,30.0,7.45,9.5
10,WFC210312C00030500,1615507200,WFC,call,30.5,7.15,8.15
11,WFC210312C00031000,1615507200,WFC,call,31.0,6.65,8.2
12,WFC210312C00031500,1615507200,WFC,call,31.5,6.15,7.6
13,WFC210312C00032000,1615507200,WFC,call,32.0,5.3,7.3
14,WFC210312C00032500,1615507200,WFC,call,32.5,5.95,6.8
15,WFC210312C00033000,1615507200,WFC,call,33.0,4.65,6.25
16,WFC210312C00033500,1615507200,WFC,call,33.5,5.0,5.15
17,WFC210312C00034000,1615507200,WFC,call,34.0,4.5,4.65
18,WFC210312C00034500,1615507200,WFC,call,34.5,4.05,4.15
19,WFC210312C00035000,1615507200,WFC,call,35.0,3.5,3.65
20,WFC210312C00035500,1615507200,WFC,call,35.5,3.05,3.15
21,WFC210312C00036000,1615507200,WFC,call,36.0,2.61,2.65
22,WFC210312C00037000,1615507200,WFC,call,37.0,1.69,1.75
23,WFC210312C00037500,1615507200,WFC,call,37.5,1.3,1.33
24,WFC210312C00038000,1615507200,WFC,call,38.0,0.98,0.99
25,WFC210312C00038500,1615507200,WFC,call,38.5,0.67,0.68
26,WFC210312C00039000,1615507200,WFC,call,39.0,0.45,0.47
27,WFC210312C00039500,1615507200,WFC,call,39.5,0.29,0.31
28,WFC210312C00040000,1615507200,WFC,call,40.0,0.19,0.2
29,WFC210312C00041000,1615507200,WFC,call,41.0,0.08,0.09
30,WFC210312C00041500,1615507200,WFC,call,41.5,0.05,0.07
31,WFC210312C00042000,1615507200,WFC,call,42.0,0.04,0.05
32,WFC210312C00043000,1615507200,WFC,call,43.0,0.02,0.03
33,WFC210312C00044000,1615507200,WFC,call,44.0,0.01,0.02
34,WFC210312C00045000,1615507200,WFC,call,45.0,0.01,0.02
35,WFC210312P00034500,1615507200,WFC,put,34.5,0.02,0.03
36,WFC210312P00035000,1615507200,WFC,put,35.0,0.02,0.03
37,WFC210312P00035500,1615507200,WFC,put,35.5,0.03,0.04
38,WFC210312P00036000,1615507200,WFC,put,36.0,0.05,0.06
39,WFC210312P00037000,1615507200,WFC,put,37.0,0.15,0.16
40,WFC210312P00037500,1615507200,WFC,put,37.5,0.25,0.26
41,WFC210312P00038000,1615507200,WFC,put,38.0,0.39,0.4
42,WFC210312P00038500,1615507200,WFC,put,38.5,0.59,0.62
43,WFC210312P00039000,1615507200,WFC,put,39.0,0.86,0.9
44,WFC210312P00039500,1615507200,WFC,put,39.5,1.24,1.24
45,WFC210312P00040000,1615507200,WFC,put,40.0,1.6,1.65
46,WFC210312P00041000,1615507200,WFC,put,41.0,2.48,2.55
47,WFC210312P00041500,1615507200,WFC,put,41.5,2.97,4.0
48,WFC210312P00042000,1615507200,WFC,put,42.0,3.45,4.05
49,WFC210312P00043000,1615507200,WFC,put,43.0,4.25,4.55
50,WFC210312P00045000,1615507200,WFC,put,45.0,5.5,7.7
51,WFC210319C00015000,1616112000,WFC,call,15.0,20.95,22.15
52,WFC210319C00017500,1616112000,WFC,call,17.5,14.35,14.75
53,WFC210319C00020000,1616112000,WFC,call,20.0,18.35,18.75
54,WFC210319C00022500,1616112000,WFC,call,22.5,15.95,16.25
55,WFC210319C00025000,1616112000,WFC,call,25.0,13.5,13.65
56,WFC210319C00027500,1616112000,WFC,call,27.5,10.95,11.15
57,WFC210319C00028000,1616112000,WFC,call,28.0,10.35,10.7
58,WFC210319C00029000,1616112000,WFC,call,29.0,9.45,9.65
